區域,114年底
總計,"127,842"
新北市,"16,535"
板橋區,"2,008"
三重區,"1,217"
中和區,"1,376"
永和區,633
新莊區,"1,623"
新店區,"1,920"
樹林區,692
鶯歌區,299
三峽區,402
淡水區,940
汐止區,"1,062"
瑞芳區,65
土城區,734
蘆洲區,491
五股區,403
泰山區,277
林口區,"1,895"
深坑區,73
石碇區,11
坪林區,15
三芝區,35
石門區,19
八里區,194
平溪區,4
雙溪區,8
貢寮區,18
金山區,56
萬里區,50
烏來區,15
臺北市,"27,725"
松山區,"2,106"
信義區,"1,476"
大安區,"6,494"
中山區,"4,638"
中正區,"1,257"
大同區,642
萬華區,514
文山區,"1,397"
南港區,978
內湖區,"5,518"
士林區,"1,501"
北投區,"1,204"
桃園市,"13,608"
桃園區,"3,463"
中壢區,"2,824"
大溪區,350
楊梅區,"1,011"
蘆竹區,"1,053"
大園區,629
龜山區,"1,069"
八德區,953
龍潭區,651
平鎮區,"1,096"
新屋區,181
觀音區,302
復興區,26
臺中市,"18,435"
中區,89
東區,461
南區,826
西區,837
北區,810
西屯區,"2,718"
南屯區,"2,184"
北屯區,"3,106"
豐原區,732
東勢區,116
大甲區,213
清水區,384
沙鹿區,636
梧棲區,335
后里區,237
神岡區,276
潭子區,495
大雅區,468
新社區,64
石岡區,46
外埔區,111
大安區,49
烏日區,544
大肚區,196
龍井區,343
霧峰區,214
太平區,991
大里區,932
和平區,22
臺南市,"10,702"
中西區,610
東區,"1,170"
南區,568
北區,767
安南區,"1,303"
安平區,721
新營區,366
鹽水區,58
白河區,43
柳營區,72
後壁區,36
東山區,25
麻豆區,201
下營區,54
六甲區,66
官田區,73
大內區,20
佳里區,240
學甲區,66
西港區,81
七股區,55
將軍區,22
北門區,17
新化區,136
善化區,617
新市區,237
安定區,137
山上區,20
玉井區,27
楠西區,13
南化區,16
左鎮區,5
仁德區,411
歸仁區,336
關廟區,107
龍崎區,5
永康區,"2,001"
高雄市,"12,423"
鹽埕區,65
鼓山區,"1,139"
左營區,"1,380"
楠梓區,973
三民區,"1,463"
新興區,281
前金區,171
苓雅區,885
前鎮區,796
旗津區,37
小港區,492
鳳山區,"1,310"
林園區,123
大寮區,337
大樹區,91
大社區,106
仁武區,884
鳥松區,344
岡山區,382
橋頭區,261
燕巢區,86
田寮區,15
阿蓮區,71
路竹區,175
湖內區,101
茄萣區,48
永安區,51
彌陀區,41
梓官區,100
旗山區,83
美濃區,89
六龜區,14
甲仙區,6
杉林區,8
內門區,11
茂林區,-
桃源區,3
那瑪夏區,1
宜蘭縣,"2,117"
宜蘭市,491
羅東鎮,337
蘇澳鎮,124
頭城鎮,94
礁溪鄉,157
壯圍鄉,107
員山鄉,134
冬山鄉,291
五結鄉,272
三星鄉,99
大同鄉,5
南澳鄉,6
新竹縣,"6,255"
竹北市,"4,052"
竹東鎮,655
新埔鎮,281
關西鎮,95
湖口鄉,427
新豐鄉,329
芎林鄉,152
橫山鄉,42
北埔鄉,32
寶山鄉,160
峨眉鄉,8
尖石鄉,17
五峰鄉,5
苗栗縣,"2,372"
苗栗市,339
苑裡鎮,122
通霄鎮,65
竹南鎮,658
頭份市,684
後龍鎮,103
卓蘭鎮,30
大湖鄉,15
公館鄉,100
銅鑼鄉,44
南庄鄉,17
頭屋鄉,23
三義鄉,85
西湖鄉,16
造橋鄉,45
三灣鄉,8
獅潭鄉,11
泰安鄉,7
彰化縣,"4,135"
彰化市,944
鹿港鎮,275
和美鎮,301
線西鄉,66
伸港鄉,115
福興鄉,131
秀水鄉,143
花壇鄉,157
芬園鄉,55
員林市,506
溪湖鎮,196
田中鎮,104
大村鄉,138
埔鹽鄉,94
埔心鄉,114
永靖鄉,88
社頭鄉,112
二水鄉,19
北斗鎮,105
二林鎮,107
田尾鄉,57
埤頭鄉,102
芳苑鄉,88
大城鄉,24
竹塘鄉,28
溪州鄉,66
南投縣,"1,386"
南投市,350
埔里鎮,234
草屯鎮,373
竹山鎮,105
集集鎮,20
名間鄉,81
鹿谷鄉,43
中寮鄉,18
魚池鄉,52
國姓鄉,35
水里鄉,32
信義鄉,14
仁愛鄉,29
雲林縣,"1,622"
斗六市,381
斗南鎮,117
虎尾鎮,258
西螺鎮,133
土庫鎮,79
北港鎮,85
古坑鄉,60
大埤鄉,37
莿桐鄉,56
林內鄉,19
二崙鄉,41
崙背鄉,41
麥寮鄉,123
東勢鄉,26
褒忠鄉,23
臺西鄉,32
元長鄉,35
四湖鄉,17
口湖鄉,35
水林鄉,24
嘉義縣,"1,091"
太保市,153
朴子市,138
布袋鎮,30
大林鎮,93
民雄鄉,201
溪口鄉,22
新港鄉,47
六腳鄉,28
東石鄉,24
義竹鄉,17
鹿草鄉,27
水上鄉,111
中埔鄉,95
竹崎鄉,49
梅山鄉,25
番路鄉,22
大埔鄉,6
阿里山鄉,3
屏東縣,"1,643"
屏東市,511
潮州鎮,185
東港鎮,86
恆春鎮,72
萬丹鄉,127
長治鄉,71
麟洛鄉,28
九如鄉,44
里港鄉,59
鹽埔鄉,34
高樹鄉,24
萬巒鄉,34
內埔鄉,113
竹田鄉,34
新埤鄉,13
枋寮鄉,42
新園鄉,38
崁頂鄉,18
林邊鄉,19
南州鄉,18
佳冬鄉,22
琉球鄉,8
車城鄉,4
滿州鄉,11
枋山鄉,6
三地門鄉,1
霧臺鄉,1
瑪家鄉,5
泰武鄉,5
來義鄉,5
春日鄉,-
獅子鄉,3
牡丹鄉,2
臺東縣,351
臺東市,218
成功鎮,19
關山鎮,10
卑南鄉,26
鹿野鄉,15
池上鄉,15
東河鄉,13
長濱鄉,10
太麻里鄉,5
大武鄉,2
綠島鄉,6
海端鄉,1
延平鄉,1
金峰鄉,3
達仁鄉,2
蘭嶼鄉,5
花蓮縣,806
花蓮市,352
鳳林鎮,13
玉里鎮,36
新城鄉,72
吉安鄉,257
壽豐鄉,31
光復鄉,9
豐濱鄉,4
瑞穗鄉,12
富里鄉,4
秀林鄉,9
萬榮鄉,2
卓溪鄉,5
澎湖縣,141
馬公市,85
湖西鄉,11
白沙鄉,14
西嶼鄉,22
望安鄉,2
七美鄉,7
基隆市,"1,106"
中山區,121
七堵區,167
暖暖區,112
仁愛區,79
中正區,154
安樂區,260
信義區,213
新竹市,"3,964"
嘉義市,"1,059"
金門縣,353
金城鎮,100
金沙鎮,54
金湖鎮,80
金寧鄉,95
烈嶼鄉,23
烏坵鄉,1
連江縣,13
南竿鄉,7
北竿鄉,2
莒光鄉,2
東引鄉,2
