區域,,114年底
板橋區,新北市,"2,008"
三重區,新北市,"1,217"
中和區,新北市,"1,376"
永和區,新北市,633
新莊區,新北市,"1,623"
新店區,新北市,"1,920"
樹林區,新北市,692
鶯歌區,新北市,299
三峽區,新北市,402
淡水區,新北市,940
汐止區,新北市,"1,062"
瑞芳區,新北市,65
土城區,新北市,734
蘆洲區,新北市,491
五股區,新北市,403
泰山區,新北市,277
林口區,新北市,"1,895"
深坑區,新北市,73
石碇區,新北市,11
坪林區,新北市,15
三芝區,新北市,35
石門區,新北市,19
八里區,新北市,194
平溪區,新北市,4
雙溪區,新北市,8
貢寮區,新北市,18
金山區,新北市,56
萬里區,新北市,50
烏來區,新北市,15
松山區,臺北市,"2,106"
信義區,臺北市,"1,476"
大安區,臺北市,"6,494"
中山區,臺北市,"4,638"
中正區,臺北市,"1,257"
大同區,臺北市,642
萬華區,臺北市,514
文山區,臺北市,"1,397"
南港區,臺北市,978
內湖區,臺北市,"5,518"
士林區,臺北市,"1,501"
北投區,臺北市,"1,204"
桃園區,桃園市,"3,463"
中壢區,桃園市,"2,824"
大溪區,桃園市,350
楊梅區,桃園市,"1,011"
蘆竹區,桃園市,"1,053"
大園區,桃園市,629
龜山區,桃園市,"1,069"
八德區,桃園市,953
龍潭區,桃園市,651
平鎮區,桃園市,"1,096"
新屋區,桃園市,181
觀音區,桃園市,302
復興區,桃園市,26
中區,臺中市,89
東區,臺中市,461
南區,臺中市,826
西區,臺中市,837
北區,臺中市,810
西屯區,臺中市,"2,718"
南屯區,臺中市,"2,184"
北屯區,臺中市,"3,106"
豐原區,臺中市,732
東勢區,臺中市,116
大甲區,臺中市,213
清水區,臺中市,384
沙鹿區,臺中市,636
梧棲區,臺中市,335
后里區,臺中市,237
神岡區,臺中市,276
潭子區,臺中市,495
大雅區,臺中市,468
新社區,臺中市,64
石岡區,臺中市,46
外埔區,臺中市,111
大安區,臺中市,49
烏日區,臺中市,544
大肚區,臺中市,196
龍井區,臺中市,343
霧峰區,臺中市,214
太平區,臺中市,991
大里區,臺中市,932
和平區,臺中市,22
中西區,臺南市,610
東區,臺南市,"1,170"
南區,臺南市,568
北區,臺南市,767
安南區,臺南市,"1,303"
安平區,臺南市,721
新營區,臺南市,366
鹽水區,臺南市,58
白河區,臺南市,43
柳營區,臺南市,72
後壁區,臺南市,36
東山區,臺南市,25
麻豆區,臺南市,201
下營區,臺南市,54
六甲區,臺南市,66
官田區,臺南市,73
大內區,臺南市,20
佳里區,臺南市,240
學甲區,臺南市,66
西港區,臺南市,81
七股區,臺南市,55
將軍區,臺南市,22
北門區,臺南市,17
新化區,臺南市,136
善化區,臺南市,617
新市區,臺南市,237
安定區,臺南市,137
山上區,臺南市,20
