負責人,站ID,站點規格,啟用日期,名稱,充電槍數,AC槍數量,DC槍數量,槍頭規格,經度,緯度,區域屬性,站點屬性
Anita,BZ01,純DC站,2020/04/18,賓航賓士_新北中和,2,0,2,CCS1,121.485519,24.998601,商業區,車廠
Anita,BZ00,純DC站,2020/05/07,台隆賓士_台北濱江,2,0,2,CCS1,121.543045,25.072696,交通幹道區,車廠
Anita,EV01,純AC站,2020/06/18,高雄鳳頂高爾夫練習場,1,1,0,J1772,120.35787,22.589843,住宅區,高球場
Ivan,EV02,純AC站,2020/07/16,嘉義優遊吧斯,3,3,0,J1772、TYPE2,120.6984,23.4628,風景區,景點
Anita,SP02,純AC站,2020/07/21,新竹科學園區_研發四路,2,2,0,J1772,120.998,24.7792,辦公區,科學園區
Anita,SP03,純AC站,2020/07/21,新竹科學園區_篤行會館,2,2,0,J1772,121.02361,24.76981,辦公區,科學園區
Anita,SP04,純AC站,2020/07/22,新竹科學園區_弘道樓,2,2,0,J1772,121.0134,24.7774,辦公區,科學園區
Anita,SP05,純AC站,2020/07/23,苗栗竹南科學園區_轉運站,2,2,0,J1772,120.9228,24.7071,辦公區,科學園區
Anita,SP07,純AC站,2020/07/24,苗栗銅鑼科學園區,2,2,0,J1772,120.7725,24.4633,辦公區,科學園區
Anita,SP09,純AC站,2020/07/27,桃園龍潭科學園區,2,2,0,J1772,121.1885,24.8877,辦公區,科學園區
Anita,SP00,純AC站,2020/07/27,新竹生醫科學園區,2,2,0,J1772,121.0472,24.8071,辦公區,科學園區
Anita,SP08,純AC站,2020/07/30,宜蘭科學園區,2,2,0,J1772,121.7543,24.73215,辦公區,科學園區
Anita,BZ02,純DC站,2020/08/20,賓泓賓士_台南(南區),2,0,2,CCS1,120.183452,22.972449,商業區,車廠
Lisa,EV00,AC+DC站,2020/08/25,台北內湖旗艦站,13,7,6,J1772、TYPE2、CCS1、CCS2、CHAdeMO,121.593142,25.06868,辦公區,旗艦型快充站
Anita,BZ03,純DC站,2020/08/26,德冠賓士_高雄,2,0,2,CCS1,120.303362,22.672273,商業區,車廠
Kathy,EV04,純AC站,2020/09/11,桃園JC PARK春日館,4,4,0,J1772、TYPE2,121.31145,25.009191,商業區,百貨
Anita,EV03,純AC站,2020/09/16,新竹老爺關西高爾夫,3,3,0,J1772、TYPE2,121.196843,24.75337,風景區,高球場
Kathy,EV05,純AC站,2020/09/17,台中港酒店,6,6,0,J1772、TYPE2,120.533589,24.259988,住宅區,飯店
Anita,BZ07,純DC站,2020/09/18,中華賓士_台中河南,2,0,2,CCS1,120.659973,24.173987,商業區,車廠
Anita,BZ05,純DC站,2020/09/18,中華賓士_台北關渡,2,0,2,CCS1,121.468579,25.123385,商業區,車廠
Anita,BZ09,純DC站,2020/09/19,中華賓士_高屏,2,0,2,CCS1,120.389093,22.633548,交通幹道區,車廠
Anita,BZ06,純DC站,2020/09/19,中華賓士_桃園,2,0,2,CCS1,121.272953,24.979548,商業區,車廠
Anita,BZ08,純DC站,2020/09/19,中華賓士_台南(永康區),2,0,2,CCS1,120.219819,23.024863,交通幹道區,車廠
Anita,BZ10,純DC站,2020/09/20,中華賓士_花蓮,2,0,2,CCS1,121.585327,23.980584,商業區,車廠
Kathy,EV07,純AC站,2020/10/21,宜蘭新月廣場,6,6,0,J1772、TYPE2,121.750324,24.753837,商業區,百貨
Kathy,EV06,純AC站,2020/10/22,台中裕元花園酒店,3,3,0,J1772,120.623992,24.179557,商業區,飯店
Xana,EV08,純AC站,2020/11/26,Times台南U.I.J Hotel & Hostel停車場,1,1,0,J1772,120.199868,22.990903,住宅區,飯店
Anita,BZ04,純DC站,2020/12/01,中彰賓士_台中,2,0,2,CCS1,120.6318,24.14408,交通幹道區,車廠
Xana,EV09,純AC站,2020/12/14,台北大倉久和大飯店,3,3,0,J1772,121.52338,25.052345,住宅區,飯店
Xana,FH00,純AC站,2020/12/15,雀客旅館_新北蘆洲,3,3,0,J1772,121.480155,25.081188,商業區,飯店
Lisa,EV11,純AC站,2021/01/14,台北台日交流協會,2,2,0,J1772,121.546205,25.053928,辦公區,商辦
Lisa,YK00,AC+DC站,2021/01/15,台北新光南港軟體園區,4,2,2,J1772、TYPE2、CCS1、CHAdeMO,121.614709,25.05988,辦公區,商辦
Ivan,EV10,純AC站,2021/01/25,高雄漢神百貨,2,2,0,J1772,120.295968,22.619301,商業區,百貨
Ivan,EV12,純DC站,2021/02/01,宜蘭安永心食館,2,0,2,CCS1、CHAdeMO,121.818453,24.614987,交通幹道區,景點
Lisa,HS01,純DC站,2021/02/03,金弘笙_台南永康店,2,0,2,CCS1、CHAdeMO,120.2445,23.0419,交通幹道區,連鎖量販-金弘笙
Lisa,HS02,純DC站,2021/02/03,金弘笙_高雄九如店,2,0,2,CCS1、CCS2,120.32816,22.638904,交通幹道區,連鎖量販-金弘笙
Kathy,TH00,純AC站,2021/02/06,屏東統一墾丁渡假村,3,3,0,J1772,120.850309,21.906333,風景區,民宿
Anita,EV17,純AC站,2021/03/03,台北信義之星(限住戶使用),2,2,0,J1772,121.564872,25.030631,住宅區,社區
Kathy,EV18,純AC站,2021/03/08,台中福華大飯店,3,3,0,J1772、TYPE2,120.624293,24.180303,商業區,飯店
Ivan,EV19,純AC站,2021/03/10,苗栗天空之城,2,2,0,J1772、TYPE2,120.7777,24.348762,風景區,景點
