Quarter,Station,StationName,ChargerType,Avg_Degree_Per_Day
2020-Q1,NULL,NULL,AC,0.22
2020-Q1,FE00,華城_中壢廠員工停車場,AC,0.71
2020-Q1,Mores01,賜鴻科技,AC,4.86
2020-Q1,TTEST001,華城內部測試站點,AC,5.53
2020-Q1,YZHTD松版,超級充電站,AC,0.09
2020-Q2,NULL,NULL,AC,1.09
2020-Q2,BZ00,台隆賓士_台北濱江,DC,0.57
2020-Q2,BZ01,賓航賓士_新北中和,DC,0.12
2020-Q2,BZ07,中華賓士_台中河南,DC,0.75
2020-Q2,BZ09,中華賓士_高屏,DC,0.78
2020-Q2,EV00,台北內湖旗艦站,AC,0.04
2020-Q2,EV01,高雄鳳頂高爾夫練習場,AC,0.1
2020-Q2,FE00,華城_中壢廠員工停車場,AC,1.94
2020-Q2,Mores01,賜鴻科技,AC,0.02
2020-Q2,TTEST001,華城內部測試站點,AC,9.59
2020-Q2,YZHTD松版,超級充電站,AC,0.94
2020-Q3,NULL,NULL,AC,35.01
2020-Q3,BZ00,台隆賓士_台北濱江,DC,6.4
2020-Q3,BZ01,賓航賓士_新北中和,DC,4.31
2020-Q3,BZ02,賓泓賓士_台南(南區),DC,3.5
2020-Q3,BZ03,德冠賓士_高雄,DC,1.08
2020-Q3,BZ05,中華賓士_台北關渡,DC,1.01
2020-Q3,BZ06,中華賓士_桃園,DC,0.59
2020-Q3,BZ07,中華賓士_台中河南,DC,5.6
2020-Q3,BZ08,中華賓士_台南(永康區),DC,1.07
2020-Q3,BZ09,中華賓士_高屏,DC,0.56
2020-Q3,BZ10,中華賓士_花蓮,DC,0.21
2020-Q3,DD00,建國北路高架A區,AC,17.46
2020-Q3,DD01,建國北路高架B區,AC,17.99
2020-Q3,DD02,建國北路高架G區,AC,0.6
2020-Q3,DD03,建國北路高架H區,AC,0
2020-Q3,DD04,建國北路高架IA區,AC,2.01
2020-Q3,EV00,台北內湖旗艦站,AC,0.38
2020-Q3,EV01,高雄鳳頂高爾夫練習場,AC,0.34
2020-Q3,EV02,嘉義優遊吧斯,AC,0.67
2020-Q3,EV03,新竹老爺關西高爾夫,AC,0
2020-Q3,EV04,桃園JC PARK春日館,AC,0.65
2020-Q3,EV05,台中港酒店,AC,0
2020-Q3,FE00,華城_中壢廠員工停車場,AC,1.89
2020-Q3,SP00,新竹生醫科學園區,AC,2.52
2020-Q3,SP01,新竹科學園區_活動中心,AC,8.43
2020-Q3,SP06,竹南科學園區_服務處,AC,0.36
2020-Q3,TTEST001,華城內部測試站點,AC,0.09
2020-Q3,YZHTD松版,超級充電站,AC,0.17
2020-Q4,NULL,NULL,AC,256.43
2020-Q4,BZ00,台隆賓士_台北濱江,DC,12.45
2020-Q4,BZ01,賓航賓士_新北中和,DC,10.63
2020-Q4,BZ02,賓泓賓士_台南(南區),DC,1.3
2020-Q4,BZ03,德冠賓士_高雄,DC,1.22
2020-Q4,BZ04,中彰賓士_台中,DC,1.15
2020-Q4,BZ05,中華賓士_台北關渡,DC,4.32
2020-Q4,BZ06,中華賓士_桃園,DC,4.42
2020-Q4,BZ07,中華賓士_台中河南,DC,21.83
2020-Q4,BZ08,中華賓士_台南(永康區),DC,3.6
2020-Q4,BZ09,中華賓士_高屏,DC,4.86
2020-Q4,BZ10,中華賓士_花蓮,DC,3.8
2020-Q4,BZ13,聯立賓士_新竹,DC,0.23
2020-Q4,DD00,建國北路高架A區,AC,50.29
2020-Q4,DD01,建國北路高架B區,AC,45.3
2020-Q4,DD02,建國北路高架G區,AC,1.89
2020-Q4,DD03,建國北路高架H區,AC,0.29
2020-Q4,DD04,建國北路高架IA區,AC,12.15
2020-Q4,EV00,台北內湖旗艦站,AC,0.96
2020-Q4,EV01,高雄鳳頂高爾夫練習場,AC,0.13
2020-Q4,EV02,嘉義優遊吧斯,AC,3.15
2020-Q4,EV03,新竹老爺關西高爾夫,AC,1.61
2020-Q4,EV04,桃園JC PARK春日館,AC,12.64
2020-Q4,EV05,台中港酒店,AC,6.91
2020-Q4,EV06,台中裕元花園酒店,AC,2.67
2020-Q4,EV07,宜蘭新月廣場,AC,13.68
2020-Q4,EV08,Times台南U.I.J Hotel & Hostel停車場,AC,0.7
2020-Q4,EV09,台北大倉久和大飯店,AC,2.63
2020-Q4,FE00,華城_中壢廠員工停車場,AC,0.8
2020-Q4,FH00,雀客旅館_新北蘆洲,AC,0
2020-Q4,SP00,新竹生醫科學園區,AC,14.31
2020-Q4,SP01,新竹科學園區_活動中心,AC,47.36
2020-Q4,SP06,竹南科學園區_服務處,AC,5.21
2020-Q4,TTEST001,華城內部測試站點,AC,22.67
2020-Q4,TTEST001,華城內部測試站點,DC,0
2020-Q4,YK00,台北新光南港軟體園區,AC,0.07
2020-Q4,YK00,台北新光南港軟體園區,DC,0.01
2020-Q4,YZHTD松版,超級充電站,AC,0
2021-Q1,NULL,NULL,AC,87.84
2021-Q1,7E01,7-11_南投邵月門市(原鑫中潭),DC,0.89
2021-Q1,BZ00,台隆賓士_台北濱江,DC,14.57
2021-Q1,BZ01,賓航賓士_新北中和,DC,12.63
2021-Q1,BZ02,賓泓賓士_台南(南區),DC,0.39
2021-Q1,BZ03,德冠賓士_高雄,DC,4.39
